ID,Date Posted,Title,Url,Author
1,"Jul 15, 2024",Machine Learning Trends in 2024,https://yashraj121.netlify.app/blog/machine_learning_trends_in_2024,Yash Raj
2,"Jun 30, 2024",The Impact of Data Science on Modern Business,https://yashraj121.netlify.app/blog/the_impact_of_data_science_on_modern_business,Yash Raj
3,"May 31, 2024",How a Neural Network Mimics the Human Brain and to What Extent,https://yashraj121.netlify.app/blog/how_a_neural_network_mimics_the_human_brain_and_to_what_extent,Yash Raj
4,"Aug 04, 2024",AI in Education: Enhancing Teacher Efficiency and Student Engagement,https://yashraj121.netlify.app/blog/ai_in_education_enhancing_teacher_efficiency_and_student_engagement,Yash Raj
5,"Aug 27, 2024",Understanding Neural Processing Units (NPU) : The Future of AI Accelerators,https://yashraj121.netlify.app/blog/understanding_neural_processing_units_(npu),Yash Raj
6,"Sep 24, 2024",AI-Driven Combat: Redefining India's Military Strategy for the Future,https://yashraj121.netlify.app/blog/ai_driven_combat,Yash Raj
7,"Oct 27, 2024",Beyond the Hype: Identifying the Critical Flaw in Today's LLMs,https://yashraj121.netlify.app/blog/identifying_the_critical_flaw_in_todays_llms,Yash Raj
8,"Dec 29, 2024",The Art and Science of Multimodal AI,https://yashraj121.netlify.app/blog/the_art_and_science_of_mulimodal_ai,Yash Raj
9,"Feb 19, 2025",DeepSeek AI: The Emerging Rival to Big AI Giants – A Deep Dive into Its Architecture and Impact,https://yashraj121.netlify.app/blog/deepseek_ai_the_emerging_rival_to_big_ai_giants,Yash Raj
10,"Apr 01, 2025",Agentic AI: The Next Evolution in Autonomous Intelligence,https://yashraj121.netlify.app/blog/agentic_ai_the_next_evolution_in_autonomous_intelligence,Yash Raj
11,"Jun 24, 2025",India’s AI Ambition: Building a Homegrown AI Ecosystem,,Yash Raj
